model,accuracy,precision,recall,f1,auc
random_forest,0.8606927710843374,0.7641921397379913,0.819672131147541,0.7909604519774012,0.9157844393556991
lightgbm,0.8554216867469879,0.7453027139874739,0.8360655737704918,0.7880794701986755,0.9206164371099508
decision_tree,0.8516566265060241,0.7327935222672065,0.8477751756440282,0.7861020629750272,0.8961432392319749
logistic,0.848644578313253,0.728744939271255,0.8430913348946136,0.7817589576547231,0.9072784078060546
mlp_keras,0.8524096385542169,0.7572383073496659,0.7962529274004684,0.776255707762557,0.9143743485640468
